,Title,Year,Genre,Awards,Metascore,BoxOffice
1890,Royal Kill,2009,"Action, Thriller",none,0.0,$0
1891,Observe and Report,2009,"Comedy, Crime, Drama",1 win & 4 nominations.,54.0,"$23,993,605"
1892,Hannah Montana: The Movie,2009,"Comedy, Drama, Family, Music, Romance",6 wins & 10 nominations.,47.0,"$79,478,344"
1880,Monsters vs Aliens: Mutant Pumpkins from Outer Space,2009,"Animation, Short, Comedy, Family, Fantasy, Sci-Fi",1 win & 1 nomination.,0.0,$0
1867,Dead Like Me: Life After Death,2009,"Comedy, Drama, Fantasy",none,0.0,$0
1922,He's Just Not That Into You,2009,"Comedy, Drama, Romance",1 win & 3 nominations.,47.0,"$93,800,000"
1893,The Secret of Kells,2009,"Animation, Adventure, Family, Fantasy",Nominated for 1 Oscar. Another 7 wins & 5 nominations.,81.0,"$686,383"
1868,Street Fighter: The Legend of Chun-Li,2009,"Action, Crime, Thriller",none,17.0,"$8,646,753"
1904,Dead Snow,2009,"Comedy, Horror",1 win & 1 nomination.,61.0,$0
1906,G.I. Joe: The Rise of Cobra,2009,"Action, Adventure, Sci-Fi, Thriller",3 wins & 16 nominations.,32.0,"$150,167,630"
1905,The Unborn,2009,"Drama, Horror, Mystery, Thriller",1 nomination.,30.0,"$42,638,165"
1921,Coraline,2009,"Animation, Drama, Fantasy, Thriller",Nominated for 1 Oscar. Another 7 wins & 43 nominations.,80.0,"$75,169,351"
1900,My Dog Tulip,2009,"Animation, Drama",2 nominations.,80.0,"$246,574"
1899,Frat Party,2009,Comedy,none,0.0,$0
1898,ZMD: Zombies of Mass Destruction,2009,"Comedy, Horror, Sci-Fi",none,0.0,$0
1907,Paul Blart: Mall Cop,2009,"Action, Comedy, Crime, Family",1 win & 3 nominations.,39.0,"$146,336,178"
1897,Bled,2009,Horror,none,0.0,$0
1901,Flying By,2009,"Drama, Family, Music",1 win.,0.0,$0
1908,Four Single Fathers,2009,Comedy,1 nomination.,0.0,$0
1923,My Life in Ruins,2009,"Comedy, Romance",1 nomination.,34.0,"$8,474,608"
1920,The International,2009,"Action, Crime, Drama, Mystery, Thriller",1 nomination.,52.0,"$25,450,527"
1911,My Bloody Valentine,2009,"Horror, Mystery, Thriller",4 nominations.,51.0,"$51,527,787"
